Lake,name_display,island_oikos,in_oikos_core_19,group,Year,Season,present
Azul,Azul,Sao Miguel,TRUE,Env,2018,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2018,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2018,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2019,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2019,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2019,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2019,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2020,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2020,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2020,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2020,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2021,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2021,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2021,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2021,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2022,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2022,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2022,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2022,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2023,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2023,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2023,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2023,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Env,2024,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2024,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2024,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2024,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2025,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2025,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2025,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Env,2025,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2003,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2003,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2003,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2003,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2004,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2004,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2004,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2004,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2005,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2005,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2005,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2005,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2006,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2006,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2006,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2006,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2007,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2007,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2007,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2007,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2008,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2008,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2008,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2008,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2009,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2009,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2009,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2009,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2010,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2010,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2010,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2010,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2011,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2011,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2011,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2011,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2012,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2012,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2012,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2012,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2013,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2013,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2013,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2013,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2014,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2014,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2014,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2014,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2015,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2015,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2015,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2015,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2016,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2016,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2016,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2016,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2017,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2017,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2017,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2017,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2018,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2018,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2018,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2018,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2019,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2019,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2019,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2019,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2020,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2020,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2020,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2020,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2021,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2021,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2021,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2021,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2022,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2022,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2022,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2022,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2023,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2023,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2023,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2023,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Macro,2024,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2024,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2024,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2024,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2025,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2025,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2025,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Macro,2025,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2003,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2003,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2003,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2003,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2004,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2004,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2004,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2004,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2005,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2005,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2005,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2005,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2006,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2006,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2006,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2006,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2007,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2007,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2007,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2007,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2008,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2008,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2008,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2008,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2009,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2009,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2009,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2009,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2010,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2010,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2010,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2010,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2011,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2011,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2011,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2011,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2012,Autumn,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2012,Spring,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2012,Summer,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2012,Winter,TRUE
Azul,Azul,Sao Miguel,TRUE,Phyto,2013,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2013,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2013,Summer,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2013,Winter,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2014,Autumn,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2014,Spring,FALSE
Azul,Azul,Sao Miguel,TRUE,Phyto,2014,Summer,FALSE
